source	target	patristic_distance	sequence_distance	n_sites	lca_level
GWOSP807-11	LOCRE139-10	0.115454	0.138057	613	69
GWOTZ634-21	GWOTZ642-21	0.0736508	0.0705656	568	45
HYPOS208-23	HYPOS314-23	0.0746852	0.0974172	657	20
GWOUM013-23	GWOUN091-24	0.0626659	0.0337279	642	47
GWOSM419-11	LOCRE111-10	0.221288	0.157811	657	66
BLPDU981-11	LPANT360-21	0.166371	0.143176	652	69
BBLSX662-09	GWOSC682-10	0.298657	0.122114	657	44
ABLCV454-09	ABOLD126-16	0.202127	0.0628112	657	64
GBGL26538-19	GBGL26541-19	0.0356812	0.110258	654	5
BLPAA23280-21	BLPEF6045-13	0.128046	0.089013	657	43
LNAUV1454-17	PMANL4838-15	0.143129	0.155739	562	3
LOCB210-06	LPANT360-21	0.172805	0.122479	652	75
ASARD5010-12	CMBUT779-11	0.121855	0.0313161	657	43
GBGL26541-19	GBMIN79306-17	0.0618087	0.116952	656	4
GWOTM033-14	MAMOT3064-13	0.154753	0.157455	657	64
GBGL26527-19	GBGL26593-19	0.0606133	0.109867	656	6
GWORB143-07	GWORQ296-10	0.113916	0.0703732	657	40
ANICT1243-11	ANICT1260-11	0.188594	0.103148	656	42
CRQZC5978-23	GWOSM419-11	0.14318	0.14223	657	71
ANICW1431-11	ANICW1460-11	0.145796	0.0996373	656	16
GWORU946-10	GWOTS167-17	0.131524	0.120102	635	60
GWOUE888-20	LOCRE121-10	0.172441	0.117586	656	67
GEOCO166-20	GWOTI449-12	0.0897124	0.112286	608	52
ILECA006-24	MDHQD2869-25	0.146902	0.0929059	657	12
GWORE1715-09	LEMMZ588-11	0.111172	0.101096	657	39
ASARD6551-12	BLPAA21755-20	0.107173	0.077404	657	40
HYPOS008-23	YAWAC796-15	1.16848	0.197761	657	0
BBLCU095-09	CNCLB2181-14	0.113823	0.109629	657	29
BBLOB415-11	SPPDA108-07	0.295636	0.14233	656	4
DNMPC276-18	PHLSA086-11	0.08887	0.10703	657	22
GWORU635-10	GWOTM043-14	0.303606	0.142508	583	65
LEPKB014-10	MIMAD187-15	0.188834	0.100862	657	26
GWORB3532-08	GWOTT605-17	0.0892984	0.0907613	657	37
GWORA1054-08	GWOSN189-11	0.0909286	0.115172	634	62
GBGL26597-19	GBGL26615-19	0.0531855	0.108113	656	6
BBUSA389-09	LEASZ624-22	0.134106	0.0885835	407	31
GBAAX57241-24	PERAL467-25	0.0384235	0.0154298	655	19
GBGL28363-19	GWOSZ966-11	0.280898	0.0730383	618	36
GWOTS167-17	GWOTS170-17	0.124753	0.098097	657	61
DBFCI120-15	GWORM849-09	0.103433	0.0805205	657	40
BLPAA3927-17	BLPDN667-10	0.0831241	0.101096	657	14
LOTA112-09	LOTA129-09	0.13069	0.125778	657	22
CNCLA5413-13	GWORU946-10	0.0850239	0.0995564	635	59
GWORE1691-09	GWOTE630-12	0.0270023	0.0249662	657	50
ABLCV345-09	GWOUE929-20	0.134463	0.112518	655	67
BLPDU981-11	GWORE165-08	0.125294	0.104972	657	69
GBGL26497-19	GBGL26553-19	0.035434	0.106363	656	6
ANICB1048-07	LEFIA956-10	0.16352	0.112518	655	28
BLPAA22289-20	BLPDI102-09	0.143875	0.0977566	657	46
SARBF5316-23	SARBF885-14	0.052803	0.0476708	657	32
JSCR288-03	LNOUE836-11	0.0944979	0.0491546	613	38
GWORO300-09	GWOSB331-10	0.042091	0.0296316	657	55
EPNG10318-17	LNAUW2733-17	0.113085	0.17388	406	24
GBGL26589-19	GBGL26610-19	0.0688702	0.123043	656	10
ALYML1499-20	BBLOE946-12	0.329613	0.160641	657	3
BCIBT301-10	GBAAH7216-25	0.171011	0.138412	657	17
ANICB412-06	ANICW1244-11	0.136256	0.0720768	657	13
GWOSI340-10	GWOSS824-11	0.137144	0.137203	656	34
GWOTA073-12	RDNMD153-06	0.0362398	0.0329807	657	43
BLPDM2290-10	NGEOA313-09	0.106424	0.108759	657	58
ANICK433-10	ANICL573-10	0.0864809	0.0802477	657	51
GWOSN189-11	GWOTM024-14	0.109556	0.0978161	657	62
GWORU736-10	LOCBB068-06	0.195996	0.136857	657	76
ANIC686-06	ANICM013-10	0.164555	0.10851	657	42
ANLMN4634-21	GWOTB325-12	0.198507	0.0980753	653	23
LNAUZ394-22	PNGTY1322-14	0.0444948	0.100043	567	58
BARSC116-16	KSLEP1002-17	0.123833	0.116314	657	57
CMAZA791-10	CNCLB2550-14	0.0557661	0.0362381	657	39
BSNHM3344-25	LEPKM274-10	0.265189	0.182461	655	16
CNCLA5433-13	LOCRD114-09	0.136621	0.0857622	656	58
BLPDL1333-10	BLPDT704-10	0.194201	0.151429	657	13
FRLAR172-18	GWORB745-07	0.133853	0.122456	656	61
GBGL26594-19	GBGL26610-19	0.0380866	0.0959258	656	10
ABLCV430-09	ARISE2264-26	0.0849055	0.105304	657	58
BLPDO1041-10	LEPIG208-11	0.114469	0.0569013	657	22
CNCLB1474-14	GWORD641-08	0.100263	0.111597	657	56
GWOR2207-08	GWORD1656-08	0.0944426	0.0962378	657	60
GWORB1619-08	PHLSA628-11	0.420826	0.0319456	613	50
GWOSB945-10	LEFIJ1149-11	0.11034	0.105701	572	59
BLPDU981-11	GWOR5163-09	0.144743	0.127737	610	66
LNAUV1572-17	LOTA265-09	0.360456	0.151585	656	3
ANICW1251-11	ANICW1303-11	0.0395086	0.0504658	657	14
DEEUR1670-18	DEEUR399-13	0.067583	0.0753659	657	43
BCIOM405-23	MILEP193-10	0.264765	0.138921	657	35
GWORM386-09	GWORM401-09	0.188304	0.123982	406	62
GWOTM851-14	IBILP648-19	0.0449501	0.0217764	657	60
BBLPD413-10	GWOTK383-12	0.0882037	0.0836491	657	48
GWOTL884-13	LEVIE2237-13	0.136281	0.0925157	657	63
BLPDE787-09	BLPEA206-11	0.150016	0.124881	657	65
LNAUV1570-17	MNAP1195-13	0.496652	0.135078	568	5
GWORQ694-10	GWORQ711-10	0.058801	0.056398	633	51
BFGCB401-23	GBAAX60982-24	0.136243	0.112735	651	35
ACGIN151-11	GBMIN33656-13	0.615325	0.151904	655	29
ASARD5687-12	LASDG216-19	0.0739828	0.0513089	651	49
BLPDH323-09	BLPEG1939-14	0.104116	0.153583	656	25
ANICW1264-11	ANICW1382-11	0.305317	0.116731	548	17
ANICW1380-11	PHLCD2039-12	0.115972	0.1049	657	15
BLPDV4130-18	PEMOC452-20	0.0827625	0.0571869	657	46
PRHPA143-11	TRIHL204-22	0.434018	0.0709411	652	16
GBLN4587-14	HYPOS044-23	0.847964	0.2118	613	0
GBGL26570-19	PMANL4833-15	0.918062	0.136253	562	1
GWOTT1004-18	GWOTT953-18	0.0832565	0.111672	657	49
BLPDV2255-18	BLPEE1489-12	0.322822	0.135315	657	21
GBAAM32433-25	GBAAZ33164-24	0.41046	0.0329807	657	27
ANICW1125-11	IMLR1040-11	0.0553435	0.0280604	657	16
LOCBB068-06	LOCRE127-10	0.212999	0.128331	657	64
CWLMA003-14	LIMBC012-09	0.224778	0.11724	657	31
HABA122-22	NGEOC012-10	0.0751461	0.147898	656	69
CIOSL2013-24	LILLA951-11	0.0738026	0.118708	657	15
GWORD278-07	GWOSC102-10	0.0440459	0.0540471	657	61
GBAAX62039-24	GBAAX63833-24	0.187936	0.0949238	618	24
GWORN310-09	GWOSO381-11	0.153681	0.119148	657	60
ABLCU899-09	CNCBF814-14	0.101863	0.0570616	657	37
BLPDV545-11	GWOR2388-08	0.176011	0.117651	657	57
CGLCA080-10	GWORE165-08	0.176808	0.115809	657	73
ANICE453-10	GWOSW521-11	0.302104	0.132301	609	41
GWORD1321-08	GWORM989-09	0.170129	0.0950425	657	68
ABOLA247-14	BBLPC820-09	0.0665374	0.0169839	657	62
LNAUZ391-22	LOCRD120-09	0.0889452	0.0326205	599	70
ABLCW837-10	ACML227-11	0.157467	0.147699	657	18
DEEUR167-11	DEEUR1683-18	0.103465	0.0704665	657	48
ANICO846-10	ANICO851-10	0.0972837	0.0725394	656	45
CRQZA18717-22	GWORU736-10	0.208065	0.143176	652	76
BBLOB415-11	CGCM319-08	0.230073	0.125654	657	4
AKLEP007-22	EPNG10849-19	0.24136	0.164896	656	17
GWORA1054-08	GWORE287-08	0.0883856	0.0819327	634	64
ARCTC997-11	NGSFT2424-16	0.328083	0.117587	634	1
GBGL26540-19	GBGL26597-19	0.0345617	0.124131	656	6
BBUSA130-09	LEUAE799-12	0.262246	0.155034	657	2
ARCTC290-10	LEMMZ585-11	0.254729	0.137001	657	44
GBGL26541-19	HYPOS102-23	0.226735	0.108113	656	4
BLPDM620-10	BLPDR674-10	0.26009	0.180351	657	10
BCMIN787-23	GBMIN79311-17	0.599267	0.104688	656	0
ABNCC713-19	CWLMA113-14	0.171165	0.100898	657	33
NGEOA313-09	NGEOB739-10	0.0595206	0.0478088	657	61
GWORR141-10	GWOSB922-10	0.261033	0.154282	618	64
BBLPC423-09	BLPDT1784-10	0.138094	0.101315	657	68
ELACA391-10	PAL097-18	0.344987	0.199724	657	19
CRSRD12578-23	ILECA166-24	0.165331	0.122063	657	18
GBGL26537-19	GBMIN79317-17	0.19526	0.0625236	656	8
EPNG2925-10	EPNG4543-11	0.18637	0.0701557	657	18
GBGL26534-19	GBGL26615-19	0.0785677	0.0992941	656	4
ARCTC469-10	INCTA567-10	0.172409	0.110174	657	41
NZPYR189-20	NZPYR498-20	0.0811734	0.0825706	576	29
GWORR141-10	GWORU635-10	0.239118	0.140504	580	65
ARMOT072-12	LNAUV1790-17	0.158342	0.10142	656	54
DEPAL705-22	LASTS580-14	0.343135	0.102872	657	12
ARCTC392-10	ARCTC458-10	0.0815717	0.092308	657	49
FAHCP102-22	JYGFG053-15	0.212032	0.0970951	407	22
LTOLB135-08	NGNN002-25	0.223336	0.0942944	656	27
ARCTA138-07	ARCTA255-07	0.157286	0.0939943	657	44
GWOTF379-12	LOCRI1368-12	0.170883	0.115559	657	54
GWOUF455-20	LPANT360-21	0.149236	0.176652	651	75
ARCTC543-10	GWOUM685-23	0.204331	0.117048	657	38
LPCOA400-19	SARBF3159-17	0.0694457	0.0265343	656	36
ANIAC1337-11	ANICB870-07	0.0631448	0.0325812	538	34
ASHYC5332-12	BLPAA8024-17	0.21165	0.140184	657	9
LGSMF101-06	LGSMG160-07	0.0556093	0.0170049	657	48
CILEP1660-24	CILEP1661-24	0.0327595	0.0264316	657	29
GWORB3476-08	GWOTM051-14	0.0672665	0.106296	657	65
GWOUE639-20	LOCRE139-10	0.135894	0.10994	613	68
ANIAB588-11	ANICU589-11	0.173269	0.147895	657	18
BBLPD821-10	ILECA006-24	0.127453	0.0721243	657	12
GBGL26585-19	GBGL26605-19	0.02771	0.0424927	655	7
ARCTC939-11	EPNG10996-19	0.240463	0.162902	657	34
CNCLA4995-13	LNAUY675-19	0.414008	0.0742129	568	39
GWORZ836-10	GWORZ839-10	0.0841982	0.0185562	657	51
BLPDL1590-10	CRCCD1170-23	0.190655	0.172143	657	11
ASMIJ33354-24	LNAUZ2996-22	0.212945	0.0905052	657	11
ABLCV650-09	GWOTX229-18	0.14512	0.0873161	657	66
ZYGMO532-12	ZYGMO773-13	0.081531	0.0652651	657	30
GBGL26517-19	GBGL26553-19	0.0468738	0.102912	656	5
FAHCP228-22	RIOGU287-21	0.17596	0.0860374	406	24
GSCMA1184-11	GSCMA1253-11	0.0737495	0.0874772	657	47
BHULP998-22	BLPAA36119-21	0.191399	0.121538	651	13
LEPMY668-13	LEPMY889-14	0.0559691	0.0233341	657	30
BHULP150-22	GBMIN20400-13	0.233184	0.0973903	657	18
CGLCA043-10	LNAUV454-16	0.0619233	0.0687629	657	40
LGSMF273-06	LNAUZ024-22	0.215525	0.0847166	653	49
GWORU736-10	GWOUE926-20	0.221884	0.16032	657	76
ANICW1161-11	ANICW1398-11	0.276834	0.0849582	548	15
BCIBT226-09	BLPAA50001-24	0.0901942	0.0984247	656	28
LOCB210-06	LOCBB068-06	0.0862051	0.0201891	657	80
GWORU736-10	LOCB210-06	0.250194	0.136857	657	76
ANICT941-11	GWOR2605-08	0.146412	0.154219	657	56
GWOUE926-20	LOCB210-06	0.148216	0.141589	657	78
GWORU736-10	LPANT360-21	0.21602	0.14556	652	75
LNOUB197-10	MIAPD888-18	0.121303	0.0668911	657	19
GWOTH369-12	GWOTM775-14	0.126977	0.0330326	656	60
GWOUE888-20	LOCRE111-10	0.175081	0.129062	656	66
GELWP042-11	LEASU081-18	0.0471443	0.0655171	657	24
ENTOH091-12	NGSFT2424-16	0.454353	0.161423	634	1
BLPEB157-11	GWORD254-07	0.0834027	0.106563	657	55
DUNLP080-08	GWOTM043-14	0.316025	0.169012	656	62
ARISE2396-26	KSLEP1768-20	0.137349	0.0510631	654	35
GBLAF093-14	GWOSV581-11	0.136152	0.13879	656	29
LBEOA1170-11	LBEOA1172-11	0.037608	0.0314075	657	54
EPNG10100-17	EPNG10419-18	0.506046	0.050612	657	47
CRQZA18717-22	GWORM989-09	0.125404	0.129713	652	74
AMUB451-11	IBILP1539-19	0.172779	0.0741496	657	54
SARBD1462-11	SARBF5125-23	0.428584	0.152442	656	24
BLPAA22667-20	BLPAA23257-21	0.129009	0.120964	656	26
ARCTA317-07	IBILP1493-19	0.208964	0.138346	657	2
GEOMB168-20	GWOTM024-14	0.111402	0.0689243	657	65
ANICN490-10	ANICN495-10	0.103687	0.0718441	657	21
GWOUE929-20	LNAUZ391-22	0.120343	0.107207	656	71
ANICM819-10	BHULP1394-22	0.187006	0.152097	656	22
KHCBT503-11	LEPAR118-11	0.155479	0.122344	656	18
GWOSD545-10	GWOUN400-24	0.426745	0.139825	338	38
CNCLA5426-13	GWOTM851-14	0.0906346	0.101605	657	58
GBMIN13241-13	GBMIN13374-13	0.0980633	0.0405144	585	28
HELB045-19	HELB050-19	0.144918	0.156047	646	31
CRQZA18717-22	LOCB210-06	0.145006	0.139051	652	77
BLPAA51912-24	MIAPD071-10	0.0915264	0.0428171	657	26
ABLCX086-10	BBLPC423-09	0.162773	0.123115	657	70
BLPAA8010-17	MNAB1415-18	0.261564	0.131238	657	21
CRCEA33378-22	CRMNE7678-24	0.06415	0.114317	652	21
BBLWU026-09	BGSNL943-24	0.370616	0.0995328	657	49
GWOSM419-11	GWOUE888-20	0.150448	0.126022	656	72
ANICQ456-11	LEPKA744-09	0.403891	0.15917	657	16
BAHAR099-14	JAGWI747-11	0.0649213	0.0344703	657	29
ACINB185218-20	SASNC2652-13	0.114408	0.0426404	657	42
BLPDG257-09	BLPDQ341-10	0.232761	0.136699	657	23
CGLCA080-10	LOCBB068-06	0.0945084	0.0746573	657	80
ANICD520-10	ANICD532-10	0.204553	0.0739497	657	36
ANGEN069-15	GBMIN83202-17	0.148995	0.0847779	619	47
ABLCV412-09	ARISE2267-26	0.053678	0.026529	657	67
QUNOC559-13	RDLQH089-06	0.130634	0.060938	657	33
GWOSM419-11	GWOSS724-11	0.164998	0.162988	656	73
ARISE3088-26	FGMLH917-16	0.0820016	0.0314075	657	57
DEPAL176-20	GRACI486-09	0.0646275	0.0281342	657	48
GWORA1993-09	GWOTL1015-13	0.0785217	0.105145	656	64
ANICW1324-11	EPNG9568-16	0.21125	0.11658	548	12
CRCCD354-23	GMCRA1254-13	0.119996	0.147741	657	9
GWOSD754-10	GWOTQ106-16	0.0986486	0.133241	657	47
BLPDV2871-18	MNAP1201-13	0.400544	0.140278	634	3
GWOSS724-11	GWOUE888-20	0.15678	0.156905	656	72
ASARD6639-12	INCTA434-10	0.182552	0.0957698	657	31
ABLCV371-09	GWORT391-10	0.102568	0.161319	657	68
GWORE068-08	GWOUE926-20	0.174019	0.149326	657	72
GWOR3248-08	GWORP135-09	0.456208	0.108681	536	62
BCLEP2882-23	GWORU746-10	0.122973	0.11824	654	73
BLPDT1105-10	CRCEA26713-22	0.151688	0.14949	642	26
LEPO020-24	NPBLA229-19	0.0264919	0.0265687	657	59
GBAAG5202-25	PLNDK912-20	0.207253	0.10314	654	7
GWORC2199-08	GWOSB948-10	0.0497887	0.0396404	656	50
FBLMT936-09	LNAUZ2999-22	0.602496	0.105708	568	9
ABLCX086-10	GWORE068-08	0.273807	0.119315	657	67
ASHYC5079-12	CRCEA5835-21	0.0996231	0.126594	654	30
ANICW1833-11	LEFIA1405-10	0.218892	0.164467	655	23
GWORL072-09	GWOUF532-20	0.103016	0.0922015	544	59
ASARD6710-12	NOTPM068-10	0.292913	0.122532	657	22
BOPM066-12	YAWAC603-15	0.234148	0.112033	656	22
ANICT006-11	GWOR4762-09	0.144426	0.113597	657	42
CNCLA4010-13	EPNG2105-10	0.154466	0.118754	656	11
GBAAX68277-24	GWOSB738-10	0.0588811	0.0308058	635	50
GBGL26552-19	GBGL26587-19	0.0951445	0.129809	656	3
DEPAL727-22	GBAAZ38920-24	0.530567	0.0873161	657	38
GWOUI442-21	LEPMY050-13	0.210891	0.109793	656	19
CRBAF7514-23	CRQUC19594-23	0.0551442	0.0170295	657	57
BLPDR333-10	CNCLA1911-13	0.143607	0.143853	657	10
ANICW1097-11	ANICW1299-11	0.132736	0.055316	657	14
ABLCX058-10	BGSNL311-23	0.503816	0.115606	656	47
DEPAL440-21	MNAQ1417-18	0.147371	0.163938	408	6
GBAAX12749-24	GBAAX67741-24	0.386655	0.146315	655	19
BLPDG084-09	LPOKD578-09	0.158729	0.138441	657	30
ANICE422-10	ANICE423-10	0.27332	0.025007	655	48
AFTOR419-14	BCISP224-11	0.168867	0.114156	657	51
DEEUR2139-19	NGSFT2424-16	0.43494	0.285293	384	1
NEPT277-10	NEPTA125-13	0.0809506	0.0313161	657	49
ETKL111-12	GWOTF887-12	0.0400561	0.0455704	657	38
BLPDK851-09	CRBOB18740-23	0.0837465	0.10611	657	24
BLPDH492-09	BLPDI136-09	0.125713	0.149453	657	9
ABLCW573-10	CNCBF006-14	0.0891118	0.0456995	657	23
LBEOW1747-11	LBEOW1748-11	0.123766	0.101254	657	29
GWOUK184-22	PMANL2964-14	0.118563	0.0590336	657	33
ARISE2264-26	CNCLB1474-14	0.0880773	0.108947	657	58
GBGL34987-19	KLEPI247-11	0.613051	0.0811633	546	26
IBILP821-19	PHLAD708-11	0.0762317	0.0217764	657	55
GWOR4534-09	LOCRD115-09	0.189457	0.112321	657	67
LEUAE806-12	PMANL4817-15	0.26762	0.146483	609	11
GWORA1978-09	GWORU848-10	0.173709	0.0934476	657	56
KSLEP649-15	LEPNF398-14	0.0396922	0.0329807	657	52
BBUSA759-09	LNAEM392-07	0.0209811	0.0233031	657	29
GBGL26463-19	GBGL26533-19	0.0384732	0.049176	656	5
IAWLB523-11	RDNM586-05	0.0534432	0.0423881	657	41
GNAU120-10	GWOR2710-08	0.138201	0.126119	656	37
AALMM004-26	BGSNL1691-24	0.44904	0.114922	657	31
CIOSI45309-24	SPPDA345-07	0.341879	0.164203	407	12
HYPOS192-23	SOWD124-06	0.818717	0.127256	650	0
GBGL26570-19	LEFID388-10	0.744596	0.17042	656	0
GWOUB701-19	LPRCL1578-22	0.109481	0.0633093	653	72
BBUSA859-09	LNAUX898-18	0.338959	0.122253	657	12
GWORE068-08	GWORE165-08	0.0928569	0.0891138	657	72
GWORE1563-09	NGEOF437-13	0.125592	0.0759604	657	63
GWORZ949-10	GWOTE926-12	0.120587	0.113563	656	47
ANICT1728-11	ANICT1734-11	0.368842	0.064127	657	44
LEFII251-11	MDHQD2866-25	0.0179159	0.0138701	657	46
GWNC535-07	GWORU716-10	0.244162	0.129718	657	68
ANICD793-10	ANICD823-10	0.141403	0.0607926	657	36
GSCMA551-10	GSCMA769-10	0.208179	0.117498	657	41
BGSNL363-23	BGSNL364-23	0.125588	0.0632828	544	57
ABLCX185-10	ABLCX186-10	0.0166358	0.0154165	657	53
ASARD6996-12	SARBF2979-17	0.0706505	0.0473062	657	31
GBGL26463-19	GBGL26597-19	0.0199686	0.0265343	656	7
GWORC731-07	ILECA2059-25	0.158814	0.120719	634	67
GBMIN79319-17	HYPOS176-23	0.162792	0.118904	656	15
GWOSN130-11	IBILP1493-19	0.304513	0.161033	657	2
CATSE072-13	GWOR4536-09	0.132746	0.0906714	657	64
GBAAX57241-24	RIOGU1697-22	0.250794	0.121109	653	14
GBMIN84004-17	LEPMY923-14	0.238178	0.119536	580	14
NOTAS476-08	NOTAS477-08	0.15431	0.106304	657	48
GBGL26526-19	HYPOS287-23	0.366362	0.10836	656	7
ABLCX217-10	MAMOT3063-13	0.0857685	0.0770383	657	51
BLPDE487-09	PHLAA454-09	0.260831	0.109436	631	63
GWOUE926-20	LOCBB068-06	0.094018	0.141589	657	78
GWORA2660-09	GWOUP1124-25	0.109497	0.0943338	657	41
LNAUU4024-15	TONAB921-10	0.0578571	0.0535407	407	51
ECPSA030-12	GWORE1545-09	0.238965	0.07077	657	43
GWOTZ373-19	NGSFT2705-16	0.12502	0.108535	567	56
GWORC948-08	GWORE1164-08	0.04066	0.0217443	657	51
GWORD253-07	NGEOF557-13	0.116602	0.127606	657	42
ARCMB041-18	ARCTD1758-22	0.0334307	0.0328522	657	43
LPQRN004-20	TTLEP100-21	0.0463948	0.0426404	657	44
BLPAA4478-17	LOCRE977-10	0.170844	0.0950425	657	55
BLPAA073-06	BLPAA2563-17	0.0794691	0.0460069	657	30
MNAP1195-13	MNAP1201-13	0.205869	0.142863	656	6
ANICX1714-11	GBAAG4982-25	0.229765	0.133527	656	11
ARCTD1455-19	ARCTD346-12	0.0649996	0.0312393	657	48
AMWW280-12	ANIAD1955-11	0.0855228	0.0473062	657	32
LOTSA187-06	LSM537-11	0.203126	0.154437	657	58
BLPDV597-11	GWORU004-10	0.0759781	0.0857289	657	62
ASARD3485-12	LASDG195-19	0.163527	0.158932	654	45
GBGL26533-19	GBGL26552-19	0.0374456	0.12607	656	6
BCLEP136-17	BCLEP488-20	0.106297	0.0329807	657	57
BLPDU937-11	LOCRI1766-12	0.0776687	0.119702	657	62
ABOLB661-15	GWOSC125-10	0.265013	0.0855348	657	51
GBAAG5155-25	LEASZ1661-23	0.150403	0.0940759	656	22
